[2026-02-10T21:30:29.820+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-10T21:30:33.072+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143625745784.parquet -> /tmp/minio_downloads/customers_143625745784.parquet
[2026-02-10T21:30:33.104+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143625880427.parquet -> /tmp/minio_downloads/customers_143625880427.parquet
[2026-02-10T21:30:33.128+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143626036712.parquet -> /tmp/minio_downloads/customers_143626036712.parquet
[2026-02-10T21:30:33.152+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143626253322.parquet -> /tmp/minio_downloads/customers_143626253322.parquet
[2026-02-10T21:30:33.176+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143626379633.parquet -> /tmp/minio_downloads/customers_143626379633.parquet
[2026-02-10T21:30:33.197+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143631165169.parquet -> /tmp/minio_downloads/customers_143631165169.parquet
[2026-02-10T21:30:33.221+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143631297551.parquet -> /tmp/minio_downloads/customers_143631297551.parquet
[2026-02-10T21:30:33.247+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143631532985.parquet -> /tmp/minio_downloads/customers_143631532985.parquet
[2026-02-10T21:30:33.271+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143631668502.parquet -> /tmp/minio_downloads/customers_143631668502.parquet
[2026-02-10T21:30:33.294+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143631799488.parquet -> /tmp/minio_downloads/customers_143631799488.parquet
[2026-02-10T21:30:33.315+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143631947409.parquet -> /tmp/minio_downloads/customers_143631947409.parquet
[2026-02-10T21:30:33.335+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143632106420.parquet -> /tmp/minio_downloads/customers_143632106420.parquet
